id;model;ethernet_ports;sfp_ports;picture_content_type;description;port_service_type;os_type;ether_prefix;sfp_prefix;start_index;port_template
1;indigo expedite;49708;73110;Human deposit;back up Metal index;NTU;MIKROTIK;Pine Solutions copying;National;90609;../fake-data/blob/hipster.txt
2;Outdoors PNG Colorado;60458;24172;Identity turquoise;Personal Loan Account HTTP;FIREWALL;MIKROTIK;e-tailers array National;hacking Generic Steel Towels Frozen;28599;../fake-data/blob/hipster.txt
3;Salad Diverse Money Market Account;24002;94864;Handmade Optional Administrator;Borders;FIREWALL;JUNOS;driver;Executive infomediaries;64651;../fake-data/blob/hipster.txt
4;Small Cotton Towels Surinam Dollar;84152;45153;turn-key;CFA Franc BCEAO Harbors Multi-channelled;NTU;JUNOS;payment;Open-architected Forward Steel;69828;../fake-data/blob/hipster.txt
5;methodologies e-markets;34444;35642;Sleek Handmade Frozen Hat Utah;Savings Account pixel;SWITCH;MIKROTIK;bypassing best-of-breed North Dakota;Uruguay Bedfordshire Strategist;98001;../fake-data/blob/hipster.txt
6;invoice;88905;18423;driver Steel bluetooth;Kansas Fords Home;EDGE;JUNOS;Licensed;Intranet purple Supervisor;36542;../fake-data/blob/hipster.txt
7;Steel;34625;86425;systems Practical Rubber Shirt;web services Functionality;EDGE;JUNOS;Licensed Rubber Bike;Auto Loan Account copying Norway;62579;../fake-data/blob/hipster.txt
8;Generic Soft Hat;20679;64309;Bacon Officer Secured;copy;FIREWALL;MIKROTIK;Investor Central;Group Hawaii web-readiness;47556;../fake-data/blob/hipster.txt
9;mission-critical Congolese Franc National;53381;57943;architectures;District magenta;EDGE;JUNOS;RSS;Ford salmon Licensed;30457;../fake-data/blob/hipster.txt
10;mobile Tasty Soft Table;74792;89435;Administrator Stravenue;reboot unleash online;SWITCH;JUNOS;Function-based Mississippi;Handcrafted Games Centralized;16767;../fake-data/blob/hipster.txt
