id;name;description;command
1;Dynamic Cambridgeshire deposit;Ameliorated;../fake-data/blob/hipster.txt
2;Chips Assistant portals;Iowa deposit;../fake-data/blob/hipster.txt
3;Computer Kip green;Representative;../fake-data/blob/hipster.txt
4;Intelligent Cotton Shirt;Soft Tanzanian Shilling;../fake-data/blob/hipster.txt
5;deposit;matrix human-resource XML;../fake-data/blob/hipster.txt
6;web-readiness haptic;pink Cambridgeshire;../fake-data/blob/hipster.txt
7;RSS;Keyboard;../fake-data/blob/hipster.txt
8;repurpose;Right-sized Program;../fake-data/blob/hipster.txt
9;Soft Beauty;Nebraska Lights;../fake-data/blob/hipster.txt
10;overriding Customer;digital Refined client-driven;../fake-data/blob/hipster.txt
