id;zone;service_key;vlan_id;rd;service_id;tenant_name;child_service_id;child_ntu_id;realm_ip;internet_type;type
1;payment;white Stravenue Cotton;22643;turquoise Shirt;56410;XSS copying;67572;81095;Avon Berkshire;DHCP;DNS_FILTER
2;firewall visionary orchid;Bike Designer;69062;Hat green;47022;Sausages Corporate;77138;92676;Argentina;STATIC_ADDRESS;XC
3;Facilitator Table workforce;withdrawal;73761;copying Generic technologies;58583;Fresh;8645;35633;Incredible Rubber Pants B2C;DHCP;GOOGLE
4;Mexico Bedfordshire black;online SMS;58405;functionalities Data;67540;ADP Compatible;88533;29912;Florida Bahrain;VXC;GOOGLE
5;Handmade Fresh Bike invoice;Hat installation;82009;Intelligent program Personal Loan Account;4199;Kiribati methodologies;34244;87081;Industrial;DHCP;XC
6;e-business;program;5315;Handmade Soft Cheese;85698;SMS;80574;94536;multimedia drive;BGP;XC
7;robust Berkshire groupware;calculate Ohio;86886;infrastructures target;12664;Decentralized Licensed New Leu;74334;27293;Cotton;VXC;AZURE_PUBLIC
8;Personal Loan Account Berkshire;Licensed Metal Keyboard invoice Lane;65133;neural withdrawal;37298;optimize infrastructures;22455;75606;digital;VXC;ORACLE
9;ADP;Versatile;19776;Turnpike Auto Loan Account withdrawal;32358;synthesizing bypassing purple;76341;84819;Georgia Ukraine;PPPOE;AZURE_MICROSOFT
10;Station scalable open-source;deposit Grove;43870;synthesize Auto Loan Account;71184;niches;81187;63642;transition overriding e-markets;STATIC_ADDRESS;VXC
