id;serial_number;name;firmware_version;ntu_id
1;input payment;system redundant program;schemas;91989
2;eyeballs Multi-lateral;Assistant time-frame Investor;generate tertiary;62863
3;installation;Chicken Soft Markets;Shirt;19580
4;United States Minor Outlying Islands teal;open system;Djibouti Franc Saint Helena Pound projection;3151
5;Stand-alone Creative Grass-roots;bus Park contextually-based;Sleek Cotton Fish attitude-oriented Gardens;16408
6;maroon Mountains;reciprocal circuit XML;Mobility systematic;6663
7;Algeria primary Generic Concrete Tuna;empower Pants;optical zero tolerance Directives;979
8;productize e-tailers Cambridgeshire;Credit Card Account real-time;Music calculating foreground;70419
9;Yemen e-services;Auto Loan Account;Checking Account streamline;61653
10;Oregon;red;Universal Investment Account;66031
