id;name;burst;bandwidth;start_policer;end_policer;range_type
1;Practical;49129;69180;2021-03-21T22:31:45;2021-03-22T14:10:51;FROM_TO_DAY
2;monetize Corner;34027;52211;2021-03-22T09:55:38;2021-03-22T13:52:06;FROM_TO_DAY
3;Wisconsin Fresh withdrawal;26523;26232;2021-03-22T18:46:12;2021-03-22T06:20:13;FROM_TO_DAY
4;application;81833;1049;2021-03-22T06:22:33;2021-03-22T10:30:41;WEEKDAYS
5;backing up firewall;10281;10376;2021-03-21T21:54:57;2021-03-22T07:11:18;EVERYDAY
6;Switzerland;64057;33445;2021-03-22T20:13:54;2021-03-22T02:12:16;DAYS
7;generate;55337;24298;2021-03-22T17:24:33;2021-03-21T23:11:56;DAYS
8;Wallis and Futuna non-volatile;12884;97067;2021-03-22T19:03:36;2021-03-22T10:26:29;FROM_TO_DAY
9;North Carolina hack;55353;50248;2021-03-22T12:53:09;2021-03-22T19:45:57;WEEKDAYS
10;Computers architect Keys;86621;88215;2021-03-22T18:38:48;2021-03-22T06:26:35;DAYS
