id;ntu_id;switch_id;service_id;vxc_id;device_url;uuid;command;cmd_response;executed_date;event_type;user;device_name;target_type;has_errors
1;98738;47804;69961;99999;Ball;microchip;Fully-configurable interfaces;Metal pixel;2021-03-22T11:14:40;POOL_UPDATE;navigating 24/365;client-driven application card;SWITCH;false
2;75630;37940;26451;65251;Investment Account object-oriented;Planner orchid;Configuration Towels Bond Markets Units European Composite Unit (EURCO);backing up Borders Kids;2021-03-22T18:32:28;UPDATE_RATE;Kwanza lime;utilisation Program;NTU;false
3;67974;40422;76750;89282;gold;Buckinghamshire Home Loan Account array;systematic Architect;PNG blue deposit;2021-03-22T08:29:34;ZONE_CREATE;Belarussian Ruble;Idaho online;SWITCH;true
4;43838;28294;63488;13582;pink granular;programming Ergonomic;mobile invoice;Mouse e-tailers;2021-03-22T05:58:22;ON_COMMIT;Ball override monetize;Triple-buffered Concrete;NTU;false
5;17360;86307;8090;67870;Identity Indiana;Central Steel Incredible Plastic Gloves;Practical Personal Loan Account;quantifying killer Handcrafted Fresh Salad;2021-03-22T04:33:49;POLICY_REORDER;capacitor benchmark;Open-architected Mauritius;NTU;true
6;1227;2836;18241;35522;interface Refined Steel Sausages;AI;Producer drive;Central Way visualize;2021-03-22T18:28:39;MANAGED_FIREWALL_CREATE;invoice backing up RAM;Cotton programming;FIREWALL;true
7;46929;59419;10157;18416;Ball;violet panel;Licensed;web-enabled Concrete;2021-03-22T12:48:30;POLICY_DELETE;Tasty Concrete Bike;Unbranded Plastic Table;FIREWALL;false
8;9960;89670;73512;81381;Concrete Intranet Multi-channelled;USB transmitting;strategic Toys;SAS Berkshire hard drive;2021-03-22T17:01:59;APPLICATION_CREATE;Jamaican Dollar input panel;Ergonomic Implementation;SWITCH;false
9;22186;64141;69567;23884;Delaware sexy port;Fantastic approach;Directives transparent Ways;Orchestrator Tasty;2021-03-22T08:58:33;DEFAULT_POLICY_UPDATE;Metrics bandwidth;Small Soft Cheese;NTU;false
10;42069;42645;16964;8348;Configuration global;Bahamian Dollar white;wireless hack payment;client-driven;2021-03-22T01:48:37;FIREWALL_DEACTIVATE;interactive open-source;Frozen Paradigm payment;NTU;true
