id;ntu_name;ntu_id;status;type;message;service_name;service_id;vxc_id;uuid;user;error_message
1;Concrete Car;25121;COMPLETED;CHANGE_PORT;connecting Cloned;bluetooth;82712;99483;bluetooth;deliverables streamline;../fake-data/blob/hipster.txt
2;card Puerto Rico Grenada;11799;ERROR;ZONE_DELETE;Cambridgeshire;Investor Product;71054;47770;JBOD;Pizza Cyprus users;../fake-data/blob/hipster.txt
3;methodical Cheese;15348;REQUEST;POOL_DELETE;card dynamic Platinum;Integration;67274;26525;Small Soft Chicken Bedfordshire indexing;Refined Congolese Franc Personal Loan Account;../fake-data/blob/hipster.txt
4;Shirt Guyana Dollar;65861;REQUEST;DELETE_SERVICE;Massachusetts;Buckinghamshire Refined Agent;29611;70042;Keyboard;Industrial THX;../fake-data/blob/hipster.txt
5;HDD invoice navigating;32758;ERROR;ZONE_UPDATE;EXE mobile repurpose;Savings Account;99994;11527;payment engineer SMS;Handcrafted Concrete Computer plum;../fake-data/blob/hipster.txt
6;teal Money Market Account;78341;FAILED;DISABLE_SERVICE_FROM_NTU;Operations;Tactics;82560;12362;Computers;Small;../fake-data/blob/hipster.txt
7;scalable salmon;24778;REQUEST;RETAGG_VLAN;invoice Universal;Barbados Dollar content 24 hour;80650;52604;optical;Beauty Rial Omani turquoise;../fake-data/blob/hipster.txt
8;Granite Computers;17234;COMPLETED;ON_COMMIT;Fantastic Cotton Pizza;Cape Verde backing up Human;37844;63578;Licensed Soft Chips Massachusetts;frictionless;../fake-data/blob/hipster.txt
9;program;22580;ERROR;RULE_SET_REORDER;Investment Account Money Market Account program;alarm Analyst South Carolina;47216;80654;withdrawal rich;Plains Checking Account;../fake-data/blob/hipster.txt
10;deposit PCI deposit;38859;COMPLETED;CHANGE_PORT;bleeding-edge Ford scalable;Wooden;403;42746;pink Missouri ADP;salmon;../fake-data/blob/hipster.txt
