id;name;code;code_rate;code_activation;description;local_price_rate;local_price_montlhy;local_price_activation;code_up_lift;up_lift;use_up_lift;use_local_price
1;Home Loan Account Web;seize Mandatory Gorgeous Fresh Bacon;matrix;Vermont;monitor Washington;8790;13456;97882;microchip;64168;true;true
2;homogeneous;Sports auxiliary Interactions;Practical Lek rich;Credit Card Account Rubber;open-source navigate;26945;45507;21771;Product ivory;84623;true;true
3;Forward Key;compressing paradigm projection;synergy Investor;transition EXE aggregate;EXE;11605;55501;80568;back-end wireless;1253;true;false
4;Secured;multi-byte Proactive synergistic;Forward;Sudan;Chicken black Ways;35491;6790;33373;Wyoming;48657;true;true
5;backing up Cheese Awesome Steel Hat;multi-tasking Baby copy;Human;Product;generating Optimized;82401;42917;89715;infrastructures Rustic Wooden Computer Beauty;17525;true;true
6;Open-architected Specialist;European Monetary Unit (E.M.U.-6);executive e-services;Pakistan Rupee;Designer;58890;81819;47362;Car index Generic;36312;false;true
7;payment Monitored Books;Customizable Zambian Kwacha sticky;Oval Administrator Metal;payment Computers;Intelligent Total AI;89361;20566;86744;SCSI withdrawal;7178;false;true
8;Forge National;Home Loan Account Savings Account Credit Card Account;Metal Accounts HTTP;Fantastic Center facilitate;reboot;60296;19712;93859;Auto Loan Account orange Dynamic;47455;true;true
9;back-end Communications;Credit Card Account Grocery Gloves;PCI system;Sports Hat Arkansas;Albania Baby;77572;85041;38764;Awesome;78714;false;false
10;deposit sticky connect;intuitive eyeballs;mint green overriding;calculate Fish;Chile optimizing;96015;47562;52924;Money Market Account Investment Account PCI;91445;true;true
