id;name;uid;description;assigned_org_name;assigned_tenant_name;assigned_org_id;assigned_tenant_id;assigned_vntu_id;assigned_vntu_name
1;monetize invoice bricks-and-clicks;China e-enable;Wisconsin Throughway monitoring;withdrawal Product;Credit Card Account Tools;optical;black Ergonomic;28582;Practical
2;bluetooth Operations driver;withdrawal Reduced web-readiness;Soft;Sleek Agent empower;Auto Loan Account Chips Grass-roots;Checking Account Hawaii;JBOD Borders;88682;program next-generation Licensed Rubber Shirt
3;3rd generation matrix;Ergonomic Cotton Shirt Product Metrics;overriding;artificial intelligence solution-oriented;quantifying Run;Toys Buckinghamshire bi-directional;Checking Account analyzer programming;96470;maroon Home Loan Account
4;deposit pixel;XSS Shoes;bypassing;Hills Car Arizona;Berkshire parsing;wireless Buckinghamshire Bridge;array;63844;Small Borders Credit Card Account
5;Ergonomic Fresh Salad solution-oriented;auxiliary;Handmade;help-desk mesh;Somali Shilling Nauru;Personal Loan Account Customer Savings Account;primary Trail;15517;Borders Centers
6;generate Dynamic portal;engineer;target knowledge user Sleek;Mauritius extend;Clothing;interfaces system;Rustic Cotton;39654;generating
7;killer vertical synthesizing;applications;Branding Shoes;quantifying Marshall Islands Intranet;XSS SSL;visualize Shoes;24/7;69920;Robust
8;Car;Kentucky;Salad approach;black Practical Rubber Salad;neural Licensed Concrete Computer local;user-centric mint green Intranet;Shoes customized Awesome;42127;input Alabama didactic
9;Granite;Minnesota;Agent;grey Wooden;copy;Fantastic Fresh Bike Fantastic Plastic Gloves online;Tasty parsing;75559;open system vortals
10;Bahamian Dollar Unbranded Plastic Chicken;systematic Zimbabwe;Tasty Concrete Soap invoice;parse;Berkshire teal invoice;Lead European Unit of Account 17(E.U.A.-17);Unbranded Frozen Salad;5307;Intelligent Shoes
