id;name;command;description;enabled;service_url;hosted_type;creation_type;tag;dto_class
1;withdrawal;../fake-data/blob/hipster.txt;Open-source multi-byte;false;Robust;VLAN;AUTOGENVLAN;Dynamic IB Berkshire;Savings Account
2;South Dakota;../fake-data/blob/hipster.txt;Licensed Rubber Bike;true;Money Market Account synthesize Unbranded Cotton Chair;VLAN;CIRCUITVLAN;generate;reboot Ergonomic Rubber Hat Auto Loan Account
3;National Specialist AGP;../fake-data/blob/hipster.txt;withdrawal panel;true;frame;CIRCUIT;AUTOGENVLAN;unleash withdrawal;networks
4;repurpose benchmark;../fake-data/blob/hipster.txt;Credit Card Account teal Personal Loan Account;false;secondary Applications Zloty;CIRCUIT;AUTOGENVLAN;circuit Chicken Shirt;Arkansas
5;JSON Face to face;../fake-data/blob/hipster.txt;Automotive Refined Soft Cheese Outdoors;true;reboot;VLAN;AUTOGENVLAN;Response;quantifying utilize Lesotho
6;Orchard;../fake-data/blob/hipster.txt;moderator;true;Wisconsin Liaison;CIRCUIT;AUTOGENVLAN;Berkshire Beauty HTTP;Table Manager
7;wireless invoice digital;../fake-data/blob/hipster.txt;Bike;true;Practical Cotton Car;CIRCUIT;CIRCUITVLAN;Cambridgeshire Ways Direct;International Agent
8;quantify;../fake-data/blob/hipster.txt;GB;false;program azure;VLAN;AUTOGENVLAN;Paradigm bus Berkshire;Unions Avon
9;Zimbabwe South Carolina zero tolerance;../fake-data/blob/hipster.txt;Intranet Supervisor Rustic Plastic Chair;true;Home Loan Account matrix Consultant;VLAN;AUTOGENVLAN;deposit CFA Franc BEAC generate;TCP
10;application;../fake-data/blob/hipster.txt;synthesize Home Loan Account lime;true;hacking;VLAN;AUTOGENVLAN;synergize Granite Creative;Cambridgeshire
