id;name;description;tenant_type;command;test;use_default_commands
1;transmitting Towels Kyat;compressing Lek Front-line;SINGLE;../fake-data/blob/hipster.txt;syndicate;false
2;New Leu Web synthesize;Cotton;ALL;../fake-data/blob/hipster.txt;Rufiyaa multi-byte;false
3;complexity;Assistant portals Lao People's Democratic Republic;ALL;../fake-data/blob/hipster.txt;Mountains;true
4;Bedfordshire;Intelligent Metal Chicken haptic leverage;ALL;../fake-data/blob/hipster.txt;Mouse core action-items;false
5;Personal Loan Account;Landing;SINGLE;../fake-data/blob/hipster.txt;engage THX Rubber;true
6;Montana;microchip Focused;SINGLE;../fake-data/blob/hipster.txt;Soft Palladium Wooden;false
7;Junctions;incentivize Credit Card Account card;ALL;../fake-data/blob/hipster.txt;fault-tolerant Integration International;true
8;array e-services payment;Small Plastic Computer;ALL;../fake-data/blob/hipster.txt;bleeding-edge Cambridgeshire;true
9;Investor pixel rich;payment Expanded;SINGLE;../fake-data/blob/hipster.txt;generating Rubber Armenian Dram;false
10;Iraqi Dinar Investment Account panel;Fantastic Plastic Chips Principal FTP;SINGLE;../fake-data/blob/hipster.txt;Berkshire quantifying;false
