id;name;label;description;mac;port;port_type;trunk;jumbo;port_speed;internet_port;uplink_port
1;Orchestrator communities deposit;Specialist Licensed Lead;generate Algerian Dinar reboot;transmit infomediaries Cheese;1361;ETHERNET;true;false;Outdoors Gambia Coordinator;true;Palau function Small Frozen Chair
2;Agent;aggregate deposit;convergence mint green;Investment Account Sausages;59223;ETHERNET;false;false;Soft alarm;false;real-time
3;Home hybrid invoice;Branding Bike;Outdoors functionalities gold;Coordinator;76656;ETHERNET;true;false;Fantastic Concrete Bike;false;sky blue
4;morph;Architect Refined;Program;Integrated;85455;ETHERNET;true;false;CSS Street;false;Fish
5;THX;incubate;Drive 24/7 Usability;Russian Ruble benchmark digital;98078;ETHERNET;true;true;transmitter;false;Investment Account Checking Account
6;implement back-end;hack;Mouse Future Music;encryption Function-based;33807;SFP;false;false;circuit cross-platform;true;circuit interface
7;programming;exploit Macedonia Silver;3rd generation system;interface;7320;ETHERNET;true;false;payment;true;Bike transmitting
8;Garden info-mediaries methodical;Armenia;Home Loan Account;Hawaii Borders;18245;SFP;true;true;Games Small;false;Cotton
9;Salad;Central;Keyboard Avon;grey relationships firewall;88298;SFP;true;true;Montana Oregon;true;turquoise Realigned transmitter
10;Developer Switzerland white;Credit Card Account EXE;United States Minor Outlying Islands;Home Loan Account back-end Polarised;97958;ETHERNET;true;false;Incredible Wooden Car;true;Avon index
