id;name;description;configuration
1;Architect Soft synthesizing;zero defect Kenyan Shilling Fresh;../fake-data/blob/hipster.txt
2;Factors calculate;Practical out-of-the-box;../fake-data/blob/hipster.txt
3;Chair;Wooden monitor Bedfordshire;../fake-data/blob/hipster.txt
4;impactful;Bike;../fake-data/blob/hipster.txt
5;Response;proactive;../fake-data/blob/hipster.txt
6;enhance Wisconsin;index relationships revolutionize;../fake-data/blob/hipster.txt
7;Handmade Wooden Salad;invoice Developer interactive;../fake-data/blob/hipster.txt
8;RAM haptic Vermont;payment;../fake-data/blob/hipster.txt
9;Soft Intelligent Granite Bacon;Oregon policy;../fake-data/blob/hipster.txt
10;integrate card Refined Fresh Sausages;quantifying Island Kids;../fake-data/blob/hipster.txt
