id;name;email;description;type;connection;port_type;port;market;location_id;vxcpermitted;location_ix;vlan_port
1;Borders;Mylene36@gmail.com;static Associate synthesizing;MEGAPORT;LAYER3;PUBLIC;Web synthesize Mountains;blue revolutionize;58208;false;Incredible Rubber Fish;Branch
2;Sleek Metal Bacon;Jerry72@yahoo.com;Land Montserrat;MEGAPORT;LAYER3;PRIVATE;Rial Omani;Designer;82900;true;United States of America deposit system;Savings Account indexing
3;Salad Steel;Mariano.Bogan35@yahoo.com;withdrawal;ZETTA;LAYER3;PRIVATE;Cedi;support;16494;true;GB Bacon International;Awesome 24/7
4;Camp Borders;Fritz36@gmail.com;Metrics transmit;MEGAPORT;LAYER3;PUBLIC;COM Towels connect;Switchable;10153;true;Jordanian Dinar Fantastic Spring;Generic
5;Direct Savings Account Handmad;Reilly.Metz67@gmail.com;Marketing Indian Rupee Ngultrum deposit;ISP;LAYER2;PRIVATE;Tactics Fantastic;high-level Multi-layered compressing;25949;false;Unbranded AI;invoice web-readiness
6;Towels Global;Osborne61@gmail.com;SDR Specialist paradigm;MEGAPORT;LAYER2;PRIVATE;convergence Rubber Buckinghamshire;Tunnel sticky;81098;true;Accounts National;benchmark Sausages neural
7;Fantastic Steel Mouse magenta;Mariam.Johnston@gmail.com;Wyoming;MEGAPORT;LAYER3;PUBLIC;grow transmit New Hampshire;Customer navigating;32312;true;Tuna;Savings Account Metal harness
8;markets deposit Unbranded;Rebecca84@yahoo.com;connect Michigan;MEGAPORT;LAYER2;PUBLIC;Arizona Uganda Shilling;Tactics 6th generation;51142;true;hack RSS multi-byte;Bedfordshire Representative
9;internet solution 1080p Chair;Lonnie.Kohler63@yahoo.com;Plastic;ISP;LAYER2;PUBLIC;Agent hacking Fish;Gambia Hawaii;54152;true;Engineer Visionary Cheese;Direct e-commerce
10;Honduras copying;Hermann_Streich39@hotmail.com;Planner Dynamic program;MEGAPORT;LAYER2;PRIVATE;Checking Account Health Officer;synergize array Fantastic;72197;true;Trail Handmade Legacy;Manager
