id;subnet;device_name;device_mode;device_id;device_type;description;allocation_type;serial_number
1;Investment Account Unbranded Devolved;indexing Designer Michigan;EDGE;15106;SWITCH;Money Market Account;AUTO;web services Data
2;standardization alarm;interface;DEMO;80038;EDGE;Crossroad payment Future-proofed;RESERVED;Timor-Leste
3;alarm;Devolved Saint Pierre and Miquelon Nevada;SD_WAN;11664;SWITCH;pixel lavender;AUTO;invoice Future yellow
4;Generic Steel Soap capacitor infomediaries;UIC-Franc South Dakota Table;CLOUD;81152;FIREWALL;Customer Consultant;RESERVED;Frozen value-added portal
5;Avon relationships Optional;SQL Salad Mandatory;CLOUD;22390;NTU;programming Dominican Republic;RESERVED;Street
6;XSS invoice;Coordinator Designer;EDGE;65095;PE;Avon Expressway wireless;RESERVED;user-centric Refined Rubber Hat
7;Corporate;Turkish Lira Re-contextualized maximize;EDGE;83911;NTU;Toys Ramp;RESERVED;Soft withdrawal Small Frozen Table
8;bandwidth next generation online;Berkshire Shoes Rustic;EDGE;3140;SWITCH;invoice;RESERVED;Generic Bedfordshire
9;Savings Account policy USB;Licensed Wooden Gloves overriding Nakfa;CLOUD;77709;FIREWALL;Street CFP Franc Architect;RESERVED;Re-contextualized
10;HTTP Generic feed;Comoro Franc;CLOUD;51694;NTU;Unbranded Frozen Pants;AUTO;Rustic Accounts
