id;type;name;description;service_key;rate_limit;price;uuid;product_uid;re_tagged_vlan_id;provisioning_status;vlan_id_a;vlan_id_b;vlan_id_s;ntu_id;user_ip;firewall_price;firewall_status;state;b_end_product_uid;partner_type;circuit_type;user_subnet;my_gw;active_port_gw;aws_auth_key;aws_ip;asn;peer_asn;vxc_type
1;VXC;local area network;Cambridgeshire Cotton;reinvent;19820;Awesome;Unbranded Concrete Soap;monitor Bermudian Dollar (customarily known as Bermuda Dollar) hacking;54440;CANCELLED_PARENT;59527;31757;5614;68955;Small Rubber Bike;bottom-line silver;ENABLED;ACTIVE;overriding flexibility connect;ISP;ROUTING_ROUTE;Inverse virtual;modular Global;Buckinghamshire deposit;portals invoice;facilitate bandwidth-monitored;64465;1874;SECONDARY
2;AZURE_MICROSOFT;Checking Account Stand-alone;matrix;Incredible Cotton Pizza methodologies;67925;invoice Car;Identity Incredible Division;Optimized database;67966;LIVE;17078;42670;72774;81409;Interactions Re-contextualized convergence;Credit Card Account mindshare Pizza;FAILED;DISABLED;definition;ISP;VLAN;Buckinghamshire leading-edge;Personal Loan Account Checking Account Berkshire;Suriname;Handmade;maximize tan Plastic;30859;27775;PRIMARY
3;INTERNET;Drive;Checking Account;navigating bypass;13518;calculate withdrawal Generic Steel Car;Checking Account Wooden;firewall;14015;DESIGN;65363;47992;93277;91678;Trinidad and Tobago withdrawal;copying;IN_PROGRESS;ACTIVE;Iran Japan;MEGAPORT;CIRCUIT;Global monitor;viral Open-source Bouvet Island (Bouvetoya);Licensed Wooden Salad convergence Common;Berkshire Awesome Alabama;COM;5545;20268;PRIMARY
4;XC;Architect Cotton;Handcrafted Rubber Chair Loaf;Usability;37240;protocol RSS Cambridgeshire;Response SMTP;4th generation Computers gold;34750;CONFIGURED;69627;5025;4413;12516;system;Vermont Turnpike;IN_PROGRESS;DISABLED;framework invoice RSS;ZETTA;ROUTING_ROUTE;Bedfordshire reinvent Falkland Islands Pound;teal scale Refined;infomediaries;Practical Soft Car;full-range Baby;98081;72274;SECONDARY
5;AZURE_MICROSOFT;Advanced;Strategist;Tasty Director;6547;Handcrafted Cotton Tuna Credit Card Account;open system Borders EXE;Kuwaiti Dinar Identity Games;5102;NEW;73717;76259;42608;87601;integrate copy Ergonomic Cotton Computer;Granite;ENABLED;ON_HOLD;Gloves Ergonomic encryption;ISP;ROUTING_NAT;Cotton Grocery;moratorium;index;target e-tailers;Generic Plastic Towels FTP;2332;70767;SECONDARY
6;AZURE;Ports;turn-key Philippine Peso index;index;77129;open-source Syrian Pound transitional;Analyst;Bedfordshire;3656;ON_HOLD;42969;64367;24123;84148;end-to-end;hybrid Legacy Nevada;DESIGN;DISABLED;distributed Unbranded online;ZETTA;ROUTING_ROUTE;Customer payment;Parkway;real-time;methodical Central;one-to-one;26173;30792;PRIMARY
7;DNS_FILTER;multi-byte;concept interfaces Future;JBOD bypassing;91118;capacitor pricing structure;Investor Avon;Avon channels index;58319;NEW;63369;52120;10295;55373;Auto Loan Account quantifying withdrawal;Cambridgeshire;SLEEP;DESIGN;target database pixel;ZETTA;CIRCUIT;interactive Bedfordshire;Sausages e-services rich;Brand Saint Helena;array web-readiness knowledge base;Up-sized withdrawal;3979;81836;PRIMARY
8;AZURE_PRIVATE;Grenada;Meadow;Communications program;6597;calculate deposit;deposit;content-based;31163;LIVE;96022;51938;92794;88239;Incredible Wooden Soap;alarm Principal;DESIGN;DISABLED;Czech Koruna infrastructures application;ZETTA;ROUTING_ROUTE;transmit;Concrete communities;Checking Account wireless feed;auxiliary Home Loan Account e-services;Savings Account;41855;27995;PRIMARY
9;DNS_FILTER;Malagasy Ariary solid state;Ohio pixel;Rubber;88122;panel;Clothing;time-frame;11893;CANCELLED;63240;60831;66778;79577;deposit withdrawal;Cotton District Portugal;FAILED;ON_HOLD;analyzer Utah Configuration;MEGAPORT;ROUTING_ROUTE;Unbranded CSS Unbranded;benchmark;intuitive Coordinator;convergence;indexing Fantastic Cotton Computer;40977;86495;PRIMARY
10;AZURE;Practical Cotton Keyboard Refined;platforms Greens;Handcrafted facilitate Gorgeous Wooden Sausages;69163;Rustic Steel Hat infomediaries;Checking Account reboot;panel invoice;67766;FAILED;21220;51776;35854;57096;Assurance;dynamic SMS;IN_PROGRESS;ON_HOLD;Executive Kids Borders;ZETTA;ROUTING_NAT;Quality Robust New Israeli Sheqel;zero tolerance;Internal Metical Avon;wireless;Directives content;25316;27407;PRIMARY
