id;name;description;type;api_type;has_port_id
1;hacking;ubiquitous programming;MEGAPORT;NONE;false
2;Dynamic Gorgeous Small Cotton Cheese;Practical Integration envisioneer;MEGAPORT;CLIENT;true
3;secondary;copying flexibility;ISP;NONE;true
4;Guadeloupe;Customer Seamless sky blue;ZETTA;CLIENT;false
5;Car bypassing Car;Checking Account FTP JBOD;MEGAPORT;NONE;true
6;Buckinghamshire withdrawal;Savings Account program Anguilla;ISP;NONE;true
7;focus group Trail digital;Quality-focused HDD bypassing;ISP;CLIENT;false
8;Bedfordshire magenta;Solutions Human;ZETTA;CLIENT;true
9;Nepal transition Spur;Buckinghamshire;ISP;CLIENT;false
10;Rubber;partnerships;MEGAPORT;NONE;false
