id;name;uid;description;type;connection;port_type;port_id;market;location_id
1;Assurance Investment Account;Auto Loan Account redundant;generating methodology;ISP;LAYER2;PUBLIC;Home Loan Account International;Dynamic;22603
2;GBX;transform parse Belarussian Ruble;Steel Handmade Concrete Bike;ZETTA;LAYER2;PUBLIC;Developer Fantastic Cotton Pants optical;mobile;59768
3;Gourde US Dollar Movies Awesom;neural Nepal;blue navigating distributed;MEGAPORT;LAYER2;PRIVATE;whiteboard;Rand Namibia Dollar Congolese Franc Utah;93054
4;Lodge;Keyboard Investment Account;magenta;ISP;LAYER2;PRIVATE;knowledge user Toys empower;e-markets Metal engage;55660
5;Table scalable;Danish Krone supply-chains Checking Account;optical;MEGAPORT;LAYER3;PUBLIC;tan maximize AI;Central;5692
6;Oregon violet yellow;South Africa next-generation Beauty;artificial intelligence Tonga;ZETTA;LAYER2;PUBLIC;panel Awesome Steel Soap Inverse;Granite input;41323
7;SMTP gold;relationships;Intelligent Soft Soap cyan viral;ZETTA;LAYER3;PRIVATE;Berkshire GB;parse Graphical User Interface website;7033
8;Plains Iowa Cotton;Credit Card Account Steel protocol;payment info-mediaries programming;MEGAPORT;LAYER3;PUBLIC;Concrete;red;28025
9;Checking Account backing up tr;web-readiness Silver;Liaison;MEGAPORT;LAYER2;PUBLIC;Credit Card Account intuitive;Kiribati Wooden Montana;4572
10;mobile;Forge;Florida iterate project;MEGAPORT;LAYER2;PUBLIC;Pre-emptive;Vista withdrawal Concrete;83611
